,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
6453,2200,9,124997-D,4室2卫,9/21层,石景山区,苹果园,西山奥园,"地铁：距1号线,6号线苹果园站1150米"
6454,2660,6,133673-C,4室1卫,1/6层,朝阳区,望京南,花家地南里,地铁：距14号线东段望京南站1100米
6455,2210,11,139979-C,4室1卫,7/15层,朝阳区,管庄,东一时区,地铁：距八通线管庄站1200米
6456,2860,12,150512-B,2室1卫,20/21层,朝阳区,十里堡,日月东华,地铁：距6号线十里堡站950米
6457,2880,11,153389-A,3室1卫,13/18层,丰台区,刘家窑,刘家窑东里,地铁：距5号线刘家窑站450米
6458,3240,15,153389-B,3室1卫,13/18层,丰台区,刘家窑,刘家窑东里,地铁：距5号线刘家窑站450米
6459,3240,15,153389-C,3室1卫,13/18层,丰台区,刘家窑,刘家窑东里,地铁：距5号线刘家窑站450米
6460,3480,10,28257-B,3室1卫,3/24层,海淀区,六道口,双清路2号院,地铁：距15号线六道口站1800米
6461,2670,16,30726-C,3室1卫,14/30层,朝阳区,东坝中街,首开畅颐园,地铁：距14号线东段将台站3500米
6462,1540,11,29314-C,4室1卫,2/6层,通州区,通州北关,华龙小区,地铁：距6号线通州北关站2700米
6463,3880,18,27322-B,2室1卫,2/6层,朝阳区,和平西桥,樱花东街,地铁：距13号线光熙门站600米
6464,2300,23,31817-A,3室1卫,6/6层,通州区,梨园,云景西里,地铁：距八通线梨园站750米
6465,1740,10,45112-C,4室1卫,3/6层,朝阳区,八里桥,西马庄园,地铁：距八通线八里桥站1150米
6467,3100,8,63976-B,3室1卫,17/22层,海淀区,六道口,逸成东苑,地铁：距15号线六道口站1400米
6468,3540,11,66466-A,3室1卫,5/6层,海淀区,知春路,罗庄西里,"地铁：距13号线,10号线知春路站350米"
6469,3050,21,7105-B,4室1卫,2/6层,朝阳区,肖村,中海城圣朝菲,地铁：距亦庄线肖村站600米
6470,2210,11,8572-D,4室1卫,3/18层,朝阳区,焦化厂,燕保祈东家园一期,地铁：距7号线焦化厂站450米
6471,2920,9,134466-A,3室1卫,19/22层,朝阳区,阜通,方舟苑,地铁：距14号线东段阜通站1500米
6472,3150,11,134466-B,3室1卫,19/22层,朝阳区,阜通,方舟苑,地铁：距14号线东段阜通站1500米
6473,2550,22,134431-C,4室1卫,3/6层,大兴区,高米店南,可可家园,地铁：距4号线大兴线高米店南站1650米
6474,3010,13,138187-C,4室1卫,9/16层,丰台区,大红门,建欣苑六里,"地铁：距8号线南段,10号线大红门站550米"
6475,3050,25,13629-B,3室1卫,5/6层,朝阳区,草房,连心园东区,地铁：距6号线草房站500米
6476,2470,12,130442-C,3室1卫,16/18层,朝阳区,管庄,远洋一方润园,地铁：距八通线管庄站950米
6477,1880,9,17279-A,3室1卫,5/27层,大兴区,义和庄,恒大未来城,地铁：距4号线大兴线义和庄站400米
6478,2680,16,1938-A,3室1卫,5/6层,朝阳区,黄渠,常营民族家园N区,地铁：距6号线黄渠站400米
6479,2860,23,1938-C,3室1卫,5/6层,朝阳区,黄渠,常营民族家园N区,地铁：距6号线黄渠站400米
6480,2890,20,23610-D,4室1卫,6/16层,丰台区,科怡路,鸿业兴园一区,地铁：距9号线科怡路站900米
6481,5210,43,23783-A,1室1卫,6/6层,丰台区,六里桥,莲怡园一区,"地铁：距9号线,10号线六里桥站600米"
6483,2510,9,2988-B,3室1卫,9/29层,朝阳区,高碑店,金隅汇星苑,地铁：距6号线青年路站1450米
6484,2770,20,30973-C,4室1卫,11/26层,通州区,通州北关,财富东方,地铁：距6号线通州北关站800米
6486,2460,13,69296-B,2室1卫,4/6层,丰台区,火箭万源,六营门小区,地铁：距8号线南段火箭万源站50米
6488,2950,13,841-B,3室1卫,12/25层,朝阳区,成寿寺,金第润苑,地铁：距10号线成寿寺站600米
6489,3180,9,125125-B,3室1卫,4/14层,西城区,长椿街,宣武门西大街小区,地铁：距2号线长椿街站150米
6490,1900,13,128768-D,4室1卫,5/8层,大兴区,清源路,兴华园,地铁：距4号线大兴线清源路站600米
6491,2330,12,128953-D,4室1卫,27/27层,朝阳区,小红门,鸿博家园二期B区,地铁：距亦庄线小红门站550米
6492,2270,22,130872-A,2室1卫,3/6层,通州区,北运河西,玉桥北里,地铁：距6号线北运河西站1250米
6493,2270,11,138014-A,4室1卫,14/17层,丰台区,角门东,西马金润二区,地铁：距10号线角门东站750米
6496,2330,15,30607-A,4室1卫,2/6层,通州区,通州北关,东潞苑,地铁：距6号线通州北关站2350米
